,min support,min confidence,rule nums,running time
0,0.001,0.2,25022,143.93555426597595
1,0.001,0.2363636363636364,20501,138.90493845939636
2,0.001,0.2727272727272727,17071,135.20004272460938
3,0.001,0.3090909090909091,14236,132.28184700012207
4,0.001,0.34545454545454546,11865,129.10183119773865
5,0.001,0.38181818181818183,10101,127.46944785118103
6,0.001,0.4181818181818182,8474,125.44135212898254
7,0.001,0.45454545454545453,7195,124.17487454414368
8,0.001,0.4909090909090909,5866,123.3837742805481
9,0.001,0.5272727272727273,4639,121.68299341201782
10,0.001,0.5636363636363637,3766,118.80083298683167
11,0.001,0.6,2961,117.26395082473755
0,0.006210526315789474,0.2,568,2.6676595211029053
1,0.006210526315789474,0.2363636363636364,470,2.5146429538726807
2,0.006210526315789474,0.2727272727272727,369,2.4455668926239014
3,0.006210526315789474,0.3090909090909091,300,2.3791511058807373
4,0.006210526315789474,0.34545454545454546,232,2.302180290222168
5,0.006210526315789474,0.38181818181818183,187,2.188922643661499
6,0.006210526315789474,0.4181818181818182,138,2.119518756866455
7,0.006210526315789474,0.45454545454545453,98,2.1679201126098633
8,0.006210526315789474,0.4909090909090909,63,2.097994804382324
9,0.006210526315789474,0.5272727272727273,34,2.080646276473999
10,0.006210526315789474,0.5636363636363637,21,2.057058811187744
11,0.006210526315789474,0.6,7,2.026888132095337
0,0.011421052631578946,0.2,193,0.7205252647399902
1,0.011421052631578946,0.2363636363636364,152,0.667839765548706
2,0.011421052631578946,0.2727272727272727,112,0.6189196109771729
3,0.011421052631578946,0.3090909090909091,95,0.6054353713989258
4,0.011421052631578946,0.34545454545454546,72,0.5857603549957275
5,0.011421052631578946,0.38181818181818183,55,0.5621404647827148
6,0.011421052631578946,0.4181818181818182,34,0.5561521053314209
7,0.011421052631578946,0.45454545454545453,19,0.5400941371917725
8,0.011421052631578946,0.4909090909090909,13,0.5342738628387451
9,0.011421052631578946,0.5272727272727273,5,0.5336568355560303
10,0.011421052631578946,0.5636363636363637,3,0.5639970302581787
11,0.011421052631578946,0.6,0,0.590447187423706
0,0.01663157894736842,0.2,104,0.35542988777160645
1,0.01663157894736842,0.2363636363636364,81,0.32778191566467285
2,0.01663157894736842,0.2727272727272727,61,0.3049328327178955
3,0.01663157894736842,0.3090909090909091,53,0.29322028160095215
4,0.01663157894736842,0.34545454545454546,37,0.27646732330322266
5,0.01663157894736842,0.38181818181818183,26,0.27051830291748047
6,0.01663157894736842,0.4181818181818182,12,0.2521481513977051
7,0.01663157894736842,0.45454545454545453,7,0.24212956428527832
8,0.01663157894736842,0.4909090909090909,2,0.2394881248474121
9,0.01663157894736842,0.5272727272727273,0,0.2340528964996338
10,0.01663157894736842,0.5636363636363637,0,0.23788213729858398
11,0.01663157894736842,0.6,0,0.23751258850097656
0,0.021842105263157895,0.2,60,0.18918895721435547
1,0.021842105263157895,0.2363636363636364,44,0.17297697067260742
2,0.021842105263157895,0.2727272727272727,36,0.1660630702972412
3,0.021842105263157895,0.3090909090909091,31,0.1627192497253418
4,0.021842105263157895,0.34545454545454546,23,0.17001008987426758
5,0.021842105263157895,0.38181818181818183,18,0.16497039794921875
6,0.021842105263157895,0.4181818181818182,9,0.1551368236541748
7,0.021842105263157895,0.45454545454545453,6,0.1338057518005371
8,0.021842105263157895,0.4909090909090909,2,0.1253654956817627
9,0.021842105263157895,0.5272727272727273,0,0.12284660339355469
10,0.021842105263157895,0.5636363636363637,0,0.12244105339050293
11,0.021842105263157895,0.6,0,0.1233668327331543
0,0.02705263157894737,0.2,34,0.10335850715637207
1,0.02705263157894737,0.2363636363636364,25,0.09358620643615723
2,0.02705263157894737,0.2727272727272727,22,0.0913543701171875
3,0.02705263157894737,0.3090909090909091,19,0.08626627922058105
4,0.02705263157894737,0.34545454545454546,13,0.07945632934570312
5,0.02705263157894737,0.38181818181818183,10,0.07476234436035156
6,0.02705263157894737,0.4181818181818182,5,0.06956768035888672
7,0.02705263157894737,0.45454545454545453,2,0.06662178039550781
8,0.02705263157894737,0.4909090909090909,1,0.06784248352050781
9,0.02705263157894737,0.5272727272727273,0,0.06540489196777344
10,0.02705263157894737,0.5636363636363637,0,0.06568384170532227
11,0.02705263157894737,0.6,0,0.06656599044799805
0,0.03226315789473684,0.2,21,0.07452750205993652
1,0.03226315789473684,0.2363636363636364,13,0.05901050567626953
2,0.03226315789473684,0.2727272727272727,11,0.05693459510803223
3,0.03226315789473684,0.3090909090909091,9,0.05534529685974121
4,0.03226315789473684,0.34545454545454546,6,0.051759958267211914
5,0.03226315789473684,0.38181818181818183,5,0.04910588264465332
6,0.03226315789473684,0.4181818181818182,2,0.043885231018066406
7,0.03226315789473684,0.45454545454545453,0,0.03894853591918945
8,0.03226315789473684,0.4909090909090909,0,0.04693174362182617
9,0.03226315789473684,0.5272727272727273,0,0.041321516036987305
10,0.03226315789473684,0.5636363636363637,0,0.04106426239013672
11,0.03226315789473684,0.6,0,0.04124927520751953
0,0.03747368421052632,0.2,17,0.04292750358581543
1,0.03747368421052632,0.2363636363636364,9,0.033675193786621094
2,0.03747368421052632,0.2727272727272727,8,0.03207516670227051
3,0.03747368421052632,0.3090909090909091,6,0.03050065040588379
4,0.03747368421052632,0.34545454545454546,5,0.02950739860534668
5,0.03747368421052632,0.38181818181818183,5,0.029120206832885742
6,0.03747368421052632,0.4181818181818182,2,0.026592254638671875
7,0.03747368421052632,0.45454545454545453,0,0.02378249168395996
8,0.03747368421052632,0.4909090909090909,0,0.02410435676574707
9,0.03747368421052632,0.5272727272727273,0,0.024320602416992188
10,0.03747368421052632,0.5636363636363637,0,0.02364492416381836
11,0.03747368421052632,0.6,0,0.023888587951660156
0,0.04268421052631579,0.2,11,0.024988174438476562
1,0.04268421052631579,0.2363636363636364,8,0.022954225540161133
2,0.04268421052631579,0.2727272727272727,7,0.02256941795349121
3,0.04268421052631579,0.3090909090909091,5,0.02022385597229004
4,0.04268421052631579,0.34545454545454546,4,0.02692127227783203
5,0.04268421052631579,0.38181818181818183,4,0.02155470848083496
6,0.04268421052631579,0.4181818181818182,2,0.01878046989440918
7,0.04268421052631579,0.45454545454545453,0,0.01632094383239746
8,0.04268421052631579,0.4909090909090909,0,0.01647496223449707
9,0.04268421052631579,0.5272727272727273,0,0.01690196990966797
10,0.04268421052631579,0.5636363636363637,0,0.01655864715576172
11,0.04268421052631579,0.6,0,0.016599416732788086
0,0.04789473684210526,0.2,7,0.01749730110168457
1,0.04789473684210526,0.2363636363636364,5,0.015049219131469727
2,0.04789473684210526,0.2727272727272727,5,0.014948606491088867
3,0.04789473684210526,0.3090909090909091,3,0.012762784957885742
