,min support,min confidence,running time
0,0.001,0.2,144.02983260154724
1,0.001,0.2363636363636364,140.4016649723053
2,0.001,0.2727272727272727,134.7144968509674
3,0.001,0.3090909090909091,130.85349369049072
4,0.001,0.34545454545454546,127.6966712474823
5,0.001,0.38181818181818183,125.65636682510376
6,0.001,0.4181818181818182,124.28247427940369
7,0.001,0.45454545454545453,122.44895386695862
8,0.001,0.4909090909090909,121.86834955215454
9,0.001,0.5272727272727273,120.19786047935486
10,0.001,0.5636363636363637,119.46592116355896
11,0.001,0.6,117.67845559120178
0,0.006210526315789474,0.2,2.685108184814453
1,0.006210526315789474,0.2363636363636364,2.5662131309509277
2,0.006210526315789474,0.2727272727272727,2.45054292678833
3,0.006210526315789474,0.3090909090909091,2.371774673461914
4,0.006210526315789474,0.34545454545454546,2.3099095821380615
5,0.006210526315789474,0.38181818181818183,2.294365882873535
6,0.006210526315789474,0.4181818181818182,2.242706775665283
7,0.006210526315789474,0.45454545454545453,2.2057275772094727
8,0.006210526315789474,0.4909090909090909,2.1151123046875
9,0.006210526315789474,0.5272727272727273,2.096599578857422
10,0.006210526315789474,0.5636363636363637,2.103419303894043
11,0.006210526315789474,0.6,2.0463969707489014
0,0.011421052631578946,0.2,0.7409181594848633
1,0.011421052631578946,0.2363636363636364,0.697340726852417
2,0.011421052631578946,0.2727272727272727,0.6567122936248779
3,0.011421052631578946,0.3090909090909091,0.6324281692504883
4,0.011421052631578946,0.34545454545454546,0.6120700836181641
5,0.011421052631578946,0.38181818181818183,0.5836122035980225
6,0.011421052631578946,0.4181818181818182,0.5723316669464111
7,0.011421052631578946,0.45454545454545453,0.5527157783508301
8,0.011421052631578946,0.4909090909090909,0.5294671058654785
9,0.011421052631578946,0.5272727272727273,0.5286166667938232
10,0.011421052631578946,0.5636363636363637,0.5300166606903076
11,0.011421052631578946,0.6,0.5285704135894775
0,0.01663157894736842,0.2,0.361757755279541
1,0.01663157894736842,0.2363636363636364,0.33272480964660645
2,0.01663157894736842,0.2727272727272727,0.31035709381103516
3,0.01663157894736842,0.3090909090909091,0.2976973056793213
4,0.01663157894736842,0.34545454545454546,0.28419947624206543
5,0.01663157894736842,0.38181818181818183,0.2679893970489502
6,0.01663157894736842,0.4181818181818182,0.2505772113800049
7,0.01663157894736842,0.45454545454545453,0.24638891220092773
8,0.01663157894736842,0.4909090909090909,0.2472400665283203
9,0.01663157894736842,0.5272727272727273,0.2422487735748291
10,0.01663157894736842,0.5636363636363637,0.24450421333312988
11,0.01663157894736842,0.6,0.2383897304534912
0,0.021842105263157895,0.2,0.1915121078491211
1,0.021842105263157895,0.2363636363636364,0.17467451095581055
2,0.021842105263157895,0.2727272727272727,0.15645670890808105
3,0.021842105263157895,0.3090909090909091,0.15660595893859863
4,0.021842105263157895,0.34545454545454546,0.14654302597045898
5,0.021842105263157895,0.38181818181818183,0.14779305458068848
6,0.021842105263157895,0.4181818181818182,0.13686156272888184
7,0.021842105263157895,0.45454545454545453,0.1308455467224121
8,0.021842105263157895,0.4909090909090909,0.12491154670715332
9,0.021842105263157895,0.5272727272727273,0.1201930046081543
10,0.021842105263157895,0.5636363636363637,0.12704062461853027
11,0.021842105263157895,0.6,0.12270879745483398
0,0.02705263157894737,0.2,0.10576510429382324
1,0.02705263157894737,0.2363636363636364,0.09267640113830566
2,0.02705263157894737,0.2727272727272727,0.0878763198852539
3,0.02705263157894737,0.3090909090909091,0.08485269546508789
4,0.02705263157894737,0.34545454545454546,0.0837106704711914
5,0.02705263157894737,0.38181818181818183,0.07715582847595215
6,0.02705263157894737,0.4181818181818182,0.07200884819030762
7,0.02705263157894737,0.45454545454545453,0.06787419319152832
8,0.02705263157894737,0.4909090909090909,0.06822919845581055
9,0.02705263157894737,0.5272727272727273,0.0660400390625
10,0.02705263157894737,0.5636363636363637,0.06618833541870117
11,0.02705263157894737,0.6,0.07002854347229004
0,0.03226315789473684,0.2,0.06316018104553223
1,0.03226315789473684,0.2363636363636364,0.05005931854248047
2,0.03226315789473684,0.2727272727272727,0.04777121543884277
3,0.03226315789473684,0.3090909090909091,0.04681754112243652
4,0.03226315789473684,0.34545454545454546,0.045233964920043945
5,0.03226315789473684,0.38181818181818183,0.039942026138305664
6,0.03226315789473684,0.4181818181818182,0.03694725036621094
7,0.03226315789473684,0.45454545454545453,0.03547525405883789
8,0.03226315789473684,0.4909090909090909,0.03513073921203613
9,0.03226315789473684,0.5272727272727273,0.03603863716125488
10,0.03226315789473684,0.5636363636363637,0.03488564491271973
11,0.03226315789473684,0.6,0.03638958930969238
0,0.03747368421052632,0.2,0.04274797439575195
1,0.03747368421052632,0.2363636363636364,0.03348064422607422
2,0.03747368421052632,0.2727272727272727,0.03259873390197754
3,0.03747368421052632,0.3090909090909091,0.03061699867248535
4,0.03747368421052632,0.34545454545454546,0.030680418014526367
5,0.03747368421052632,0.38181818181818183,0.029473543167114258
6,0.03747368421052632,0.4181818181818182,0.026597261428833008
7,0.03747368421052632,0.45454545454545453,0.02341437339782715
8,0.03747368421052632,0.4909090909090909,0.023270130157470703
9,0.03747368421052632,0.5272727272727273,0.023363590240478516
10,0.03747368421052632,0.5636363636363637,0.023014307022094727
11,0.03747368421052632,0.6,0.023011445999145508
0,0.04268421052631579,0.2,0.028213977813720703
1,0.04268421052631579,0.2363636363636364,0.025511503219604492
2,0.04268421052631579,0.2727272727272727,0.021618366241455078
3,0.04268421052631579,0.3090909090909091,0.019895315170288086
4,0.04268421052631579,0.34545454545454546,0.02075934410095215
5,0.04268421052631579,0.38181818181818183,0.01929783821105957
6,0.04268421052631579,0.4181818181818182,0.015923738479614258
7,0.04268421052631579,0.45454545454545453,0.01434469223022461
8,0.04268421052631579,0.4909090909090909,0.014681816101074219
9,0.04268421052631579,0.5272727272727273,0.013927221298217773
10,0.04268421052631579,0.5636363636363637,0.014387369155883789
11,0.04268421052631579,0.6,0.014059782028198242
0,0.04789473684210526,0.2,0.018483877182006836
1,0.04789473684210526,0.2363636363636364,0.015384435653686523
2,0.04789473684210526,0.2727272727272727,0.015250682830810547
3,0.04789473684210526,0.3090909090909091,0.01231837272644043
4,0.04789473684210526,0.34545454545454546,0.01310110092163086
5,0.04789473684210526,0.38181818181818183,0.012803316116333008
6,0.04789473684210526,0.4181818181818182,0.010884284973144531
7,0.04789473684210526,0.45454545454545453,0.009477853775024414
8,0.04789473684210526,0.4909090909090909,0.00981593132019043
9,0.04789473684210526,0.5272727272727273,0.01121664047241211
10,0.04789473684210526,0.5636363636363637,0.010725975036621094
11,0.04789473684210526,0.6,0.01011347770690918
0,0.05310526315789474,0.2,0.013471126556396484
1,0.05310526315789474,0.2363636363636364,0.011905431747436523
2,0.05310526315789474,0.2727272727272727,0.012634038925170898
3,0.05310526315789474,0.3090909090909091,0.00966644287109375
4,0.05310526315789474,0.34545454545454546,0.010964632034301758
5,0.05310526315789474,0.38181818181818183,0.010765790939331055
6,0.05310526315789474,0.4181818181818182,0.007744312286376953
7,0.05310526315789474,0.45454545454545453,0.007180929183959961
8,0.05310526315789474,0.4909090909090909,0.007029056549072266
9,0.05310526315789474,0.5272727272727273,0.007340431213378906
10,0.05310526315789474,0.5636363636363637,0.0072002410888671875
11,0.05310526315789474,0.6,0.007242679595947266
0,0.05831578947368421,0.2,0.004266262054443359
1,0.05831578947368421,0.2363636363636364,0.004715442657470703
2,0.05831578947368421,0.2727272727272727,0.004802703857421875
3,0.05831578947368421,0.3090909090909091,0.003555774688720703
4,0.05831578947368421,0.34545454545454546,0.003490447998046875
5,0.05831578947368421,0.38181818181818183,0.003928422927856445
6,0.05831578947368421,0.4181818181818182,0.0027561187744140625
7,0.05831578947368421,0.45454545454545453,0.002730131149291992
8,0.05831578947368421,0.4909090909090909,0.0026853084564208984
9,0.05831578947368421,0.5272727272727273,0.0025959014892578125
10,0.05831578947368421,0.5636363636363637,0.002424001693725586
11,0.05831578947368421,0.6,0.0024378299713134766
0,0.06352631578947368,0.2,0.0049059391021728516
1,0.06352631578947368,0.2363636363636364,0.004534721374511719
2,0.06352631578947368,0.2727272727272727,0.004584550857543945
3,0.06352631578947368,0.3090909090909091,0.003393888473510742
4,0.06352631578947368,0.34545454545454546,0.003435850143432617
5,0.06352631578947368,0.38181818181818183,0.003488779067993164
6,0.06352631578947368,0.4181818181818182,0.002393484115600586
7,0.06352631578947368,0.45454545454545453,0.0023565292358398438
8,0.06352631578947368,0.4909090909090909,0.0024051666259765625
9,0.06352631578947368,0.5272727272727273,0.0024323463439941406
10,0.06352631578947368,0.5636363636363637,0.0023894309997558594
11,0.06352631578947368,0.6,0.0023496150970458984
0,0.06873684210526315,0.2,0.004836559295654297
1,0.06873684210526315,0.2363636363636364,0.0047228336334228516
2,0.06873684210526315,0.2727272727272727,0.004723787307739258
3,0.06873684210526315,0.3090909090909091,0.003416299819946289
4,0.06873684210526315,0.34545454545454546,0.0034027099609375
